file,sample_rate,channels,mics_used,mic_selection,num_sources,grid_step,min_sep,fmin,fmax,active_quantile,oracle_grid_mean_error,oracle_grid_max_error,oracle_grid_error1,srp_peak_count,srp_raw_x1,srp_raw_y1,srp_raw_z1,srp_raw_score1,srp_mean_error,srp_median_error,srp_max_error,srp_truth_index1,srp_estimate_index1,srp_est_x1,srp_est_y1,srp_est_z1,srp_truth_x1,srp_truth_y1,srp_truth_z1,srp_error1,srp_depth_error1,srp_in_plane_error1,das_peak_count,das_raw_x1,das_raw_y1,das_raw_z1,das_raw_score1,das_mean_error,das_median_error,das_max_error,das_truth_index1,das_estimate_index1,das_est_x1,das_est_y1,das_est_z1,das_truth_x1,das_truth_y1,das_truth_z1,das_error1,das_depth_error1,das_in_plane_error1,mvdr_peak_count,mvdr_raw_x1,mvdr_raw_y1,mvdr_raw_z1,mvdr_raw_score1,mvdr_mean_error,mvdr_median_error,mvdr_max_error,mvdr_truth_index1,mvdr_estimate_index1,mvdr_est_x1,mvdr_est_y1,mvdr_est_z1,mvdr_truth_x1,mvdr_truth_y1,mvdr_truth_z1,mvdr_error1,mvdr_depth_error1,mvdr_in_plane_error1
01-001_seed-18.wav,48000,112,32,farthest,1,0.1,0.2,1000.0,4000.0,0.0,0.06002528235891557,0.06002528235891557,0.06002528235891557,1,4.400000000000002,2.200000000000001,1.8,1350.5013427734375,0.33951439902879804,0.33951439902879804,0.33951439902879804,1,1,4.400000000000002,2.200000000000001,1.8,4.063888345623972,2.1533747820854185,1.7888164408656546,0.33951439902879804,0.3361116543760305,0.04794771048229214,1,4.900000000000002,2.200000000000001,1.9000000000000001,0.02794298996195721,0.8447593700875922,0.8447593700875922,0.8447593700875922,1,1,4.900000000000002,2.200000000000001,1.9000000000000001,4.063888345623972,2.1533747820854185,1.7888164408656546,0.8447593700875922,0.8361116543760305,0.12056406913903833,1,4.900000000000002,2.200000000000001,1.9000000000000001,1.2303661615378325e-07,0.8447593700875922,0.8447593700875922,0.8447593700875922,1,1,4.900000000000002,2.200000000000001,1.9000000000000001,4.063888345623972,2.1533747820854185,1.7888164408656546,0.8447593700875922,0.8361116543760305,0.12056406913903833
01-002_seed-6.wav,48000,112,32,farthest,1,0.1,0.2,1000.0,4000.0,0.0,0.053672645484946865,0.053672645484946865,0.053672645484946865,1,3.200000000000001,3.200000000000001,1.6,419.081298828125,0.13302994136454271,0.13302994136454271,0.13302994136454271,1,1,3.200000000000001,3.200000000000001,1.6,3.1298377797280796,3.096081158141418,1.5555578752450014,0.13302994136454271,0.07016222027192143,0.11302313102178708,1,3.200000000000001,3.200000000000001,1.5,0.031616128138693966,0.1371442319182763,0.1371442319182763,0.1371442319182763,1,1,3.200000000000001,3.200000000000001,1.5,3.1298377797280796,3.096081158141418,1.5555578752450014,0.1371442319182763,0.07016222027192143,0.1178380379799678,1,2.4000000000000004,2.400000000000001,1.3,2.131772301328546e-07,1.0404335591654321,1.0404335591654321,1.0404335591654321,1,1,2.4000000000000004,2.400000000000001,1.3,3.1298377797280796,3.096081158141418,1.5555578752450014,1.0404335591654321,0.7298377797280793,0.7415111639882682
01-003_seed-3.wav,48000,112,32,farthest,1,0.1,0.2,1000.0,4000.0,0.0,0.06760003494453144,0.06760003494453144,0.06760003494453144,1,4.600000000000002,2.200000000000001,1.7000000000000002,1655.0203857421875,0.5558964313071485,0.5558964313071485,0.5558964313071485,1,1,4.600000000000002,2.200000000000001,1.7000000000000002,4.046290768653734,2.1521776762885487,1.6881697499271766,0.5558964313071485,0.5537092313462679,0.04926387583157134,1,4.600000000000002,2.200000000000001,1.7000000000000002,0.05461781069061544,0.5558964313071485,0.5558964313071485,0.5558964313071485,1,1,4.600000000000002,2.200000000000001,1.7000000000000002,4.046290768653734,2.1521776762885487,1.6881697499271766,0.5558964313071485,0.5537092313462679,0.04926387583157134,1,3.9000000000000017,2.1000000000000005,1.7000000000000002,1.8225321430074002e-07,0.1557673063032099,0.1557673063032099,0.1557673063032099,1,1,3.9000000000000017,2.1000000000000005,1.7000000000000002,4.046290768653734,2.1521776762885487,1.6881697499271766,0.1557673063032099,0.1462907686537327,0.0535020066881427
01-004_seed-2.wav,48000,112,32,farthest,1,0.1,0.2,1000.0,4000.0,0.0,0.057794234493868404,0.057794234493868404,0.057794234493868404,1,4.200000000000002,2.3000000000000007,1.5,1903.9578857421875,0.26587179572973924,0.26587179572973924,0.26587179572973924,1,1,4.200000000000002,2.3000000000000007,1.5,3.9377539362936287,2.2761752687540047,1.5367041689202339,0.26587179572973924,0.26224606370637327,0.04375858584402611,1,4.200000000000002,2.3000000000000007,1.5,0.021815529487184904,0.26587179572973924,0.26587179572973924,0.26587179572973924,1,1,4.200000000000002,2.3000000000000007,1.5,3.9377539362936287,2.2761752687540047,1.5367041689202339,0.26587179572973924,0.26224606370637327,0.04375858584402611,1,4.100000000000001,2.3000000000000007,1.5,6.752036473917903e-08,0.1680434438568829,0.1680434438568829,0.1680434438568829,1,1,4.100000000000001,2.3000000000000007,1.5,3.9377539362936287,2.2761752687540047,1.5367041689202339,0.1680434438568829,0.16224606370637273,0.04375858584402611
01-005_seed-7.wav,48000,112,32,farthest,1,0.1,0.2,1000.0,4000.0,0.0,0.06035423399760531,0.06035423399760531,0.06035423399760531,1,3.100000000000001,2.800000000000001,1.7000000000000002,2517.868896484375,0.06889531940247771,0.06889531940247771,0.06889531940247771,1,1,3.100000000000001,2.800000000000001,1.7000000000000002,3.0444803426293423,2.7888254740872536,1.660766562072138,0.06889531940247771,0.05551965737065867,0.04079378238180531,1,3.100000000000001,2.800000000000001,1.7000000000000002,0.050121342505008215,0.06889531940247771,0.06889531940247771,0.06889531940247771,1,1,3.100000000000001,2.800000000000001,1.7000000000000002,3.0444803426293423,2.7888254740872536,1.660766562072138,0.06889531940247771,0.05551965737065867,0.04079378238180531,1,3.4000000000000012,2.9000000000000012,1.7000000000000002,2.3068110092046053e-07,0.3745574250238732,0.3745574250238732,0.3745574250238732,1,1,3.4000000000000012,2.9000000000000012,1.7000000000000002,3.0444803426293423,2.7888254740872536,1.660766562072138,0.3745574250238732,0.35551965737065894,0.11789418078753347
01-006_seed-17.wav,48000,112,32,farthest,1,0.1,0.2,1000.0,4000.0,0.0,0.05903489861715699,0.05903489861715699,0.05903489861715699,1,3.300000000000001,2.9000000000000012,1.5,2215.19873046875,0.05903489861715699,0.05903489861715699,0.05903489861715699,1,1,3.300000000000001,2.9000000000000012,1.5,3.3435649553547933,2.9119114816033993,1.538017502885972,0.05903489861715699,0.0435649553547921,0.03983985340928071,1,3.300000000000001,2.9000000000000012,1.5,0.055044519789589685,0.05903489861715699,0.05903489861715699,0.05903489861715699,1,1,3.300000000000001,2.9000000000000012,1.5,3.3435649553547933,2.9119114816033993,1.538017502885972,0.05903489861715699,0.0435649553547921,0.03983985340928071,1,3.300000000000001,2.9000000000000012,1.5,1.6644440068680332e-07,0.05903489861715699,0.05903489861715699,0.05903489861715699,1,1,3.300000000000001,2.9000000000000012,1.5,3.3435649553547933,2.9119114816033993,1.538017502885972,0.05903489861715699,0.0435649553547921,0.03983985340928071
01-007_seed-11.wav,48000,112,32,farthest,1,0.1,0.2,1000.0,4000.0,0.0,0.0631094283448819,0.0631094283448819,0.0631094283448819,1,3.7000000000000015,2.800000000000001,1.7000000000000002,2460.26953125,0.2992807489174713,0.2992807489174713,0.2992807489174713,1,1,3.7000000000000015,2.800000000000001,1.7000000000000002,3.4100750432278657,2.741844036683485,1.6538440681601414,0.2992807489174713,0.2899249567721358,0.07424611850647582,1,3.7000000000000015,2.800000000000001,1.7000000000000002,0.03921724114161407,0.2992807489174713,0.2992807489174713,0.2992807489174713,1,1,3.7000000000000015,2.800000000000001,1.7000000000000002,3.4100750432278657,2.741844036683485,1.6538440681601414,0.2992807489174713,0.2899249567721358,0.07424611850647582,1,3.7000000000000015,2.800000000000001,1.7000000000000002,1.6261521164783176e-07,0.2992807489174713,0.2992807489174713,0.2992807489174713,1,1,3.7000000000000015,2.800000000000001,1.7000000000000002,3.4100750432278657,2.741844036683485,1.6538440681601414,0.2992807489174713,0.2899249567721358,0.07424611850647582
01-008_seed-16.wav,48000,112,32,farthest,1,0.1,0.2,1000.0,4000.0,0.0,0.05855936704571927,0.05855936704571927,0.05855936704571927,1,2.6000000000000005,2.700000000000001,1.7000000000000002,3538.938232421875,0.06184246478612986,0.06184246478612986,0.06184246478612986,1,1,2.6000000000000005,2.700000000000001,1.7000000000000002,2.6519764549101428,2.730051327612163,1.6851724481270791,0.06184246478612986,0.051976454910142245,0.03351027582395678,1,2.6000000000000005,2.700000000000001,1.7000000000000002,0.15381076994526666,0.06184246478612986,0.06184246478612986,0.06184246478612986,1,1,2.6000000000000005,2.700000000000001,1.7000000000000002,2.6519764549101428,2.730051327612163,1.6851724481270791,0.06184246478612986,0.051976454910142245,0.03351027582395678,1,2.8000000000000007,2.800000000000001,1.7000000000000002,2.831829636125954e-07,0.16438869475829065,0.16438869475829065,0.16438869475829065,1,1,2.8000000000000007,2.800000000000001,1.7000000000000002,2.6519764549101428,2.730051327612163,1.6851724481270791,0.16438869475829065,0.14802354508985793,0.07150295842386699
01-009_seed-12.wav,48000,112,32,farthest,1,0.1,0.2,1000.0,4000.0,0.0,0.043543066658856835,0.043543066658856835,0.043543066658856835,1,2.6000000000000005,3.6000000000000014,1.8,2720.35205078125,0.10460804602851334,0.10460804602851334,0.10460804602851334,1,1,2.6000000000000005,3.6000000000000014,1.8,2.5162073620851646,3.5385584147156077,1.7878934429783964,0.10460804602851334,0.08379263791483593,0.06262297601660884,1,2.6000000000000005,3.6000000000000014,1.8,0.09025858071709081,0.10460804602851334,0.10460804602851334,0.10460804602851334,1,1,2.6000000000000005,3.6000000000000014,1.8,2.5162073620851646,3.5385584147156077,1.7878934429783964,0.10460804602851334,0.08379263791483593,0.06262297601660884,1,2.5000000000000004,3.5000000000000013,1.8,2.6377890902710575e-07,0.043543066658856835,0.043543066658856835,0.043543066658856835,1,1,2.5000000000000004,3.5000000000000013,1.8,2.5162073620851646,3.5385584147156077,1.7878934429783964,0.043543066658856835,0.016207362085164156,0.04041435473068985
01-010_seed-10.wav,48000,112,32,farthest,1,0.1,0.2,1000.0,4000.0,0.0,0.053672645484946865,0.053672645484946865,0.053672645484946865,1,3.200000000000001,3.200000000000001,1.6,361.642333984375,0.13302994136454271,0.13302994136454271,0.13302994136454271,1,1,3.200000000000001,3.200000000000001,1.6,3.1298377797280796,3.096081158141418,1.5555578752450014,0.13302994136454271,0.07016222027192143,0.11302313102178708,1,3.200000000000001,3.200000000000001,1.5,0.027225957393511635,0.1371442319182763,0.1371442319182763,0.1371442319182763,1,1,3.200000000000001,3.200000000000001,1.5,3.1298377797280796,3.096081158141418,1.5555578752450014,0.1371442319182763,0.07016222027192143,0.1178380379799678,1,3.100000000000001,1.1000000000000003,1.5,2.0145447041071332e-07,1.9970771042921764,1.9970771042921764,1.9970771042921764,1,1,3.100000000000001,1.1000000000000003,1.5,3.1298377797280796,3.096081158141418,1.5555578752450014,1.9970771042921764,0.02983777972807866,1.9968541928215298
